participant_id,age,gender,region,institution_type,years_teaching,training_track,attendance,satisfaction,pre_score,post_score,completed
LEC-0152,38,MALE,SOUTH EAST,Private,9,Online,,4,44.0,56.0,Yes
LEC-0234,21,MALE,South South,public,0,Online,75.0,5,80.0,95.0,Yes
LEC-0173,34,Male,South West,PUBLIC,,Online,92.0,5,58.0,72.0,Yes
LEC-0140,30,Female,South East,Public,7,Blended,87.0,4,71.0,87.0,Yes
LEC-0109,52,Female,South South,Public,,BLENDED ,100,3,50.0,87.0,Yes
LEC-0127,27,Female,south east ,Public,0,,90.0,4,41.0,68.0,Yes
LEC-0110,40,FEMALE ,North West,public,18,Online,71.0,5,51.0,65.0,Yes
LEC-0195,48,Female,North Central,Public,17,Blended,60.0,2,58.0,83.0,No
LEC-0016,27,Male,North East,Public,0,In-Person,81.0,,47.0,80.0,Yes
LEC-0117,41,Female,NORTH CENTRAL,Public,8,Blended,91.0,4,60.0,90.0,Yes
LEC-0005,44,Female,South South,public,11,Blended,100,5,69.0,130,Yes
LEC-0051,36,FEMALE ,SOUTH WEST,Public,16,Blended,91.0,4,42.0,83.0,No
LEC-0017,58,female,SOUTH WEST,,29,Online ,85.0,5,50.0,73.0,Yes
LEC-0183,42,Male,North Central,Private,29,In-Person,100,3,73.0,100,Yes
LEC-0001,48,Female,North East,,17,Online,80.0,4,45.0,64.0,Yes
LEC-0064,52,Male,SOUTH WEST,PUBLIC,27,ONLINE,67.0,2,43.0,64.0,Yes
LEC-0092,55,Female,North West,Public,18,Online,67.0,3,51.0,73.0,Yes
LEC-0238,55,Female,North East,public,19,BLENDED ,86.0,3,60.0,-8,Yes
LEC-0202,52,female,north east,Public,26,blended,94.0,3,57.0,85.0,Yes
LEC-0181,42,Female,North West,Public,12,blended,87.0,5,49.0,65.0,Yes
LEC-0058,46,Male,North Central,Private,23,Online,91.0,5,,62.0,Yes
LEC-0010,49,Female,South West,private,29,Online,70.0,5,40.0,66.0,Yes
LEC-0182,38,Male,South South,Public,12,Blended,98.0,,63.0,90.0,Yes
LEC-0126,45,Male,South South,Public,20,In-Person,80.0,3,52.0,85.0,Yes
LEC-0003,49,Male,South South,public,24,In-Person,76.0,4,57.0,80.0,Yes
LEC-0160,32,Male,NORTH EAST ,Public,,blended,-10,5,-3,84.0,Yes
LEC-0149,31,Female,NORTH EAST ,Public,1,Blended,77.0,3,58.0,97.0,Yes
LEC-0170,40,M,South South,,12,In-Person,58.0,2,59.0,77.0,Yes
LEC-0122,35,M,South East,Private,6,Blended,100,4,38.0,,Yes
LEC-0166,47,Male,South South,Public,16,Online,,,80.0,91.0,Yes
LEC-0062,51,Male,,Private,22,In-Person,72.0,5,44.0,77.0,Yes
LEC-0205,30,Male,South South,Public,7,Blended,71.0,4,70.0,94.0,Yes
LEC-0078,36,Female,South West,Public,,Blended,79.0,4,77.0,94.0,Yes
LEC-0053,30,Female,South West,Private,14,BLENDED ,100.0,1,63.0,99.0,Yes
LEC-0090,34,,SOUTH WEST,Public,3,In-Person,93.0,4,41.0,59.0,No
LEC-0118,39,Female,North Central,Public,10,Blended,63.0,1,60.0,87.0,Yes
LEC-0145,39,Male,North Central,Private,2,ONLINE,43.0,5,76.0,78.0,No
LEC-0063,28,male,,Public,0,online,81.0,4,53.0,73.0,Yes
LEC-0011,-5,M,North Central,Public,25,Blended,100,5,41.0,76.0,Yes
LEC-0232,34,Female,North West,Private,5,Blended,74.0,3,62.0,93.0,Yes
LEC-0073,40,,south east ,private,14,Blended,67.0,1,49.0,81.0,Yes
LEC-0129,30,Female,North Central,public,0,,100,4,104,85.0,Yes
LEC-0105,42,M,South South,PUBLIC,8,Online,87.0,4,65.0,82.0,Yes
LEC-0094,43,Female,North Central,Private,10,ONLINE,88.0,4,61.0,80.0,Yes
LEC-0209,39,Male,South West,Public,14,Blended,100,4,46.0,84.0,Yes
LEC-0069,35,Male,NORTH CENTRAL,Public,5,Online ,,5,65.0,81.0,Yes
LEC-0165,31,Female,North East,private,0,Online,83.0,3,,65.0,Yes
LEC-0239,47,Male,north west,Public,14,In-Person,98.0,5,67.0,91.0,Yes
LEC-0046,51,Male,South East,Public,25,In-Person,100,4,60.0,85.0,Yes
LEC-0067,,MALE,North East,Public,18,Blended,95.0,1,55.0,75.0,Yes
LEC-0193,51,male,South South,Public,20,In-Person,77.0,5,53.0,73.0,Yes
LEC-0139,37,MALE,NORTH CENTRAL,Public,6,Online,89.0,4,-3,83.0,Yes
LEC-0132,36,Male,North West,Public,7,Online,86.0,5,64.0,77.0,Yes
